title,category,salary_usd,location,experience_level,employment_type,work_setting,skills,source
AI Scientist,Machine Learning and AI,100000.0,United States,Senior,Full-time,Remote,,jobs_in_data
Finance Data Analyst,Data Analysis,40000.0,Nigeria,Entry-level,Full-time,In-person,,jobs_in_data
Software Data Engineer,Data Engineering,210000.0,United States,Senior,Full-time,Remote,,jobs_in_data
Machine Learning Research Engineer,Data Science and Research,90000.0,Saudi Arabia,Mid-level,Full-time,Remote,,jobs_in_data
AI Scientist,Machine Learning and AI,81838.0,Australia,Mid-level,Full-time,Remote,,jobs_in_data
Compliance Data Analyst,Data Analysis,60000.0,United States,Entry-level,Full-time,Remote,,jobs_in_data
Data Operations Specialist,Data Quality and Operations,55720.0,United States,Senior,Full-time,Remote,,jobs_in_data
Data Analyst,Data Analysis,165000.0,Australia,Mid-level,Full-time,In-person,,jobs_in_data
Cloud Data Engineer,Data Engineering,177177.0,United Kingdom,Entry-level,Full-time,Remote,,jobs_in_data
Machine Learning Engineer,Machine Learning and AI,225000.0,France,Senior,Full-time,In-person,,jobs_in_data
Analytics Engineering Manager,Leadership and Management,399880.0,United Kingdom,Senior,Full-time,Hybrid,,jobs_in_data
Business Intelligence Developer,BI and Visualization,140000.0,Canada,Senior,Full-time,Remote,,jobs_in_data
Research Scientist,Data Science and Research,280000.0,United Kingdom,Mid-level,Full-time,Hybrid,,jobs_in_data
Business Intelligence Data Analyst,Data Analysis,99000.0,United States,Entry-level,Full-time,Remote,,jobs_in_data
NLP Engineer,Machine Learning and AI,210000.0,United States,Senior,Full-time,Remote,,jobs_in_data
Business Data Analyst,Data Analysis,36000.0,Ghana,Mid-level,Freelance,In-person,,jobs_in_data
Data Engineer,Data Engineering,72000.0,Argentina,Senior,Full-time,Remote,,jobs_in_data
Staff Data Analyst,Data Analysis,179998.0,Saudi Arabia,Mid-level,Full-time,Remote,,jobs_in_data
Data Scientist,Data Science and Research,35000.0,India,Mid-level,Full-time,In-person,,jobs_in_data
AWS Data Architect,Data Architecture and Modeling,258000.0,United States,Mid-level,Full-time,Remote,,jobs_in_data
Product Data Analyst,Data Analysis,83200.0,United States,Entry-level,Contract,Hybrid,,jobs_in_data
Data Analyst,Data Analysis,84000.0,Colombia,Senior,Full-time,Remote,,jobs_in_data
Machine Learning Developer,Machine Learning and AI,60000.0,Nigeria,Senior,Freelance,Remote,,jobs_in_data
BI Developer,BI and Visualization,160000.0,Japan,Senior,Full-time,Remote,,jobs_in_data
Data Visualization Analyst,BI and Visualization,130000.0,United States,Senior,Full-time,In-person,,jobs_in_data
Product Data Analyst,Data Analysis,57000.0,Russia,Senior,Full-time,Remote,,jobs_in_data
Autonomous Vehicle Technician,Machine Learning and AI,120000.0,United Kingdom,Mid-level,Full-time,Hybrid,,jobs_in_data
Sales Data Analyst,Data Analysis,60000.0,Nigeria,Mid-level,Contract,In-person,,jobs_in_data
Cloud Data Engineer,Data Engineering,100000.0,United States,Entry-level,Full-time,Hybrid,,jobs_in_data
Finance Data Analyst,Data Analysis,323905.0,United States,Senior,Contract,Remote,,jobs_in_data
Applied Scientist,Data Science and Research,36000.0,Nigeria,Mid-level,Full-time,Hybrid,,jobs_in_data
Data Operations Analyst,Data Quality and Operations,144000.0,United Kingdom,Senior,Full-time,In-person,,jobs_in_data
Data Modeler,Data Architecture and Modeling,110736.0,United Kingdom,Mid-level,Full-time,In-person,,jobs_in_data
Applied Machine Learning Engineer,Machine Learning and AI,225000.0,United States,Executive,Full-time,Remote,,jobs_in_data
Analytics Engineer,Leadership and Management,50000.0,Nigeria,Senior,Full-time,Remote,,jobs_in_data
NLP Engineer,Machine Learning and AI,75038.0,Spain,Senior,Full-time,Remote,,jobs_in_data
NLP Engineer,Machine Learning and AI,71475.0,Italy,Senior,Full-time,Remote,,jobs_in_data
Principal Data Scientist,Data Science and Research,86374.0,Spain,Senior,Full-time,Remote,,jobs_in_data
Research Engineer,Data Science and Research,275000.0,Germany,Senior,Full-time,In-person,,jobs_in_data
Data Strategist,Data Architecture and Modeling,90000.0,Canada,Senior,Full-time,In-person,,jobs_in_data
Compliance Data Analyst,Data Analysis,30000.0,Nigeria,Entry-level,Full-time,Remote,,jobs_in_data
Applied Machine Learning Engineer,Machine Learning and AI,70179.0,Germany,Mid-level,Full-time,Remote,,jobs_in_data
Machine Learning Engineer,Machine Learning and AI,56536.0,Switzerland,Entry-level,Full-time,Remote,,jobs_in_data
Data Analyst,Data Analysis,55368.0,Central African Republic,Senior,Full-time,Remote,,jobs_in_data
ETL Engineer,Data Engineering,86128.0,United Kingdom,Mid-level,Full-time,Remote,,jobs_in_data
Data DevOps Engineer,Data Engineering,53984.0,France,Senior,Full-time,Hybrid,,jobs_in_data
Applied Data Scientist,Data Science and Research,67635.0,Finland,Senior,Full-time,Remote,,jobs_in_data
AI Developer,Machine Learning and AI,74883.0,Finland,Mid-level,Full-time,In-person,,jobs_in_data
AI Developer,Machine Learning and AI,275000.0,Canada,Senior,Full-time,In-person,,jobs_in_data
